Agassizhorn | Bernese Alps
Albristhorn | Bernese Alps
Ärmighorn | Bernese Alps
Augstmatthorn | Emmental Alps
Bächlistock | Bernese Alps
Bäderhorn | Bernese Alps
Balmhorn | Bernese Alps
Bantiger | Emmental Alps
Bänzlauistock | Uri Alps
Bärglistock | Bernese Alps
Blasenflue | Emmental Alps
Blüemlisalp(horn) | Bernese Alps
Breithorn (Lauterbrunnen) | Bernese Alps
Brienzer Rothorn | Emmental Alps
Brünberg | Bernese Alps
Burgfeldstand | Emmental Alps
Bütlasse | Bernese Alps
Chasseral | Jura Mountains
Cheibehore | Bernese Alps
Chingstuel | Uri Alps
Chlyne Lohner | Bernese Alps
Dent de Ruth | Bernese Alps
Diechterhorn | Uri Alps
Doldenhorn | Bernese Alps
Drättehorn | Bernese Alps
Dreispitz | Bernese Alps
Drümännler | Bernese Alps
Drunengalm | Bernese Alps
Dündenhorn | Bernese Alps
Ebnefluh | Bernese Alps
Eiger | Bernese Alps
Elsighorn | Bernese Alps
Felsenhorn | Bernese Alps
Finsteraarhorn | Bernese Alps
Fründenhorn | Bernese Alps
Furggenspitz | Bernese Alps
Gallauistock | Bernese Alps
Gantrisch | Bernese Alps
Gärstenhörner | Uri Alps
Geltenhorn | Bernese Alps
Giferspitz | Bernese Alps
Giglistock | Uri Alps
Gletscherhorn | Bernese Alps
Glogghüs | Uri Alps
Graustock | Uri Alps
Gross Fiescherhorn | Bernese Alps
Gross Lohner | Bernese Alps
Gross Wendenstock | Uri Alps
Grosshorn | Bernese Alps
Grossstrubel | Bernese Alps
Gspaltenhorn | Bernese Alps
Gstellihorn | Bernese Alps
Gsür | Bernese Alps
Gumihorn | Bernese Alps
Gummfluh | Bernese Alps
Gummhorn | Bernese Alps
Gurten | Bernese Alps
Gwächtenhorn | Uri Alps
Hangendgletscherhorn | Bernese Alps
Hienderstock | Bernese Alps
Hinter Tierberg | Uri Alps
Hockenhorn | Bernese Alps
Hohgant | Emmental Alps
Höhi Wispile | Bernese Alps
Hohniesen | Bernese Alps
Honegg | Emmental Alps
Hundshorn | Bernese Alps
Hundsrügg | Bernese Alps
Iffighore | Bernese Alps
Jungfrau | Bernese Alps
Lasenberg | Bernese Alps
Les Faverges | Bernese Alps
Lobhörner | Bernese Alps
Löffelhorn | Bernese Alps
Mährenhorn | Uri Alps
Männliflue | Bernese Alps
Mittaghorn | Bernese Alps
Mittlere Lohner | Bernese Alps
Mönch | Bernese Alps
Mont Raimeux | Jura Mountains
Morgenberghorn | Bernese Alps
Moron | Jura Mountains
Muntiggalm | Bernese Alps
Mutthorn | Bernese Alps
Napf | Emmental Alps
Nasse Strahlegg | Bernese Alps
Niderhorn | Bernese Alps
Niesehorn | Bernese Alps
Niesen | Bernese Alps
Nünenenflue | Bernese Alps
Oberaarhorn | Bernese Alps
Oberaarrothorn | Bernese Alps
Ochsen | Bernese Alps
Oldenhorn | Vaud Alps
Oltschiburg | Bernese Alps
Reeti/Rötihorn | Bernese Alps
Reissend Nollen | Uri Alps
Rinderberg | Bernese Alps
Ritzlihorn | Bernese Alps
Rohrbachstein | Bernese Alps
Rosenhorn | Bernese Alps
Roteflue | Bernese Alps
Rothore | Bernese Alps
Rothorn | Bernese Alps
Rotstock | Bernese Alps
Sanetschhorn | Bernese Alps
Schafberg | Bernese Alps
Schibe | Bernese Alps
Schilthorn | Bernese Alps
Schnidehorn | Bernese Alps
Schnierenhörnli | Bernese Alps
Schreckhorn | Bernese Alps
Schwändiblueme | Emmental Alps
Schwarzhorn | Bernese Alps
Schwidenegg | Bernese Alps
Seeberghorn | Bernese Alps
Seehore | Bernese Alps
Sigriswiler Rothorn | Emmental Alps
Spillgerte | Bernese Alps
Spitzhorn | Bernese Alps
Steghorn | Bernese Alps
Steinhüshorn | Uri Alps
Stockhorn | Bernese Alps
Studerhorn | Bernese Alps
Sustenhorn | Uri Alps
Sustenspitz | Uri Alps
Tällistock | Uri Alps
Tannhorn | Emmental Alps
Tieralplistock[Note 1] | Uri Alps
Titlis | Uri Alps
Tschingelhorn | Bernese Alps
Tschingelspitz | Bernese Alps
Tschipparällehore | Bernese Alps
Tschuggen | Bernese Alps
Turnen | Bernese Alps
Wachthubel | Emmental Alps
Walenmattweid | Jura Mountains
Wätterlatte | Bernese Alps
Wellhorn | Bernese Alps
Wendenhorn | Uri Alps
Wetterhorn | Bernese Alps
Wetterhörner (Mittelhorn) | Bernese Alps
Widdersgrind | Bernese Alps
Wildgärst | Bernese Alps
Wildhorn | Bernese Alps
Wildi Frau | Bernese Alps
Wildstrubel | Bernese Alps
Wiriehorn | Bernese Alps
Wistätthorn | Bernese Alps
Wittenberghorn | Bernese Alps
